EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
106862,1694956,FOLLOWUP,TOWNEPLACE SUITES,,6601 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,FOOD SERVICE,8/16/22 0:00,97,A,TOWNEPLACE SUITES,,6502
106600,1664213,REGULAR,VALHALLA POST ACUTE,,300 SHELBY STATION DR,,LOUISVILLE,KY,40245,FOOD SERVICE (HOSPITAL / NURSING HOME,4/8/22 0:00,98,A,VALHALLA POST ACUTE,,6503
106419,1697863,REGULAR,TACO CHOZA,,3922 WESTPORT RD,,LOUISVILLE,KY,40207,FOOD SERVICE,8/30/22 0:00,92,A,TACO CHOZA,,6504
107132,1694132,REGULAR,THORNTONS #26,,14101 SHELBYVILLE RD,,LOUISVILLE,KY,40245,"RETAIL-FOOD  10,000 SQ FT OR LESS",8/12/22 0:00,100,A,THORNTONS #26,,6505
107443,1670801,REGULAR,RAMSEY FOOD SERVICE #2,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/29/22 0:00,100,,RAMSEY FOOD SERVICE #2,,6506
106862,1693288,REGULAR,TOWNEPLACE SUITES,,6601 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,FOOD SERVICE,8/10/22 0:00,77,C,TOWNEPLACE SUITES,,6508
106600,1710171,REGULAR,VALHALLA POST ACUTE,,300 SHELBY STATION DR,,LOUISVILLE,KY,40245,FOOD SERVICE (HOSPITAL / NURSING HOME,10/18/22 0:00,99,A,VALHALLA POST ACUTE,,6509
107451,1667629,REGULAR,TEAMCO FOODSERVICE #1,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,96,,TEAMCO FOODSERVICE #1,,6510
106424,1690714,REGULAR,MAGNOLIA SPRINGS LOUISVILLE,,8225 WHIPPS MILL RD,,LOUISVILLE,KY,40222,FOOD SERVICE (HOSPITAL / NURSING HOME,8/1/22 0:00,100,A,MAGNOLIA SPRINGS LOUISVILLE,,6511
107132,1694133,REGULAR,THORNTONS #26,,14101 SHELBYVILLE RD,,LOUISVILLE,KY,40245,"RETAIL-FOOD  10,000 SQ FT OR LESS",8/12/22 0:00,100,,THORNTONS #26,,6512
107451,1667630,FOLLOWUP,TEAMCO FOODSERVICE #1,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,99,,TEAMCO FOODSERVICE #1,,6514
107356,1694450,REGULAR,THORNTONS #95,,13314 SHELBYVILLE RD,,LOUISVILLE,KY,40223,"RETAIL-FOOD  10,000 SQ FT OR LESS",8/15/22 0:00,100,A,THORNTONS #95,,6517
107241,1708227,REGULAR,THORNTONS #98,,4136 CANE RUN RD,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",10/11/22 0:00,99,A,THORNTONS #98,,6519
106610,1722875,COMPLAINT,LUCY MAE'S FOOD MART,,2300 W KENTUCKY ST,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",10/17/22 0:00,0,,LUCY MAE'S FOOD MART,,6520
106425,1692267,REGULAR,ROUND 1 BOWLING & AMUSEMENTS,,4801 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,8/5/22 0:00,98,A,ROUND 1 BOWLING & AMUSEMENTS,,6521
107356,1694451,REGULAR,THORNTONS #95,,13314 SHELBYVILLE RD,,LOUISVILLE,KY,40223,"RETAIL-FOOD  10,000 SQ FT OR LESS",8/15/22 0:00,100,,THORNTONS #95,,6522
106866,1680990,REGULAR,QUARLES FARM,,,,LOUISVILLE,KY,40205,FARMERS MARKET TEMPORARY,6/4/22 0:00,100,,QUARLES FARM,,6523
107241,1708228,REGULAR,THORNTONS #98,,4136 CANE RUN RD,,LOUISVILLE,KY,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",10/11/22 0:00,99,,THORNTONS #98,,6525
107452,1667641,REGULAR,313 FLAVA TYME - TEXAS CRUSH,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,99,,313 FLAVA TYME - TEXAS CRUSH,,6526
106883,1701490,REGULAR,CHEROKEE PARK REHABILITATION,,2100 MILLVALE DR,,LOUISVILLE,KY,40205,FOOD SERVICE (HOSPITAL / NURSING HOME,9/13/22 0:00,95,A,CHEROKEE PARK REHABILITATION,,6528
107453,1667617,FOLLOWUP,TIKI GRILL #1,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,98,,TIKI GRILL #1,,6531
107135,1677636,REGULAR,OHAD HOLZBERG,,,,LOUISVILLE,KY,40205,FARMERS MARKET TEMPORARY,6/4/22 0:00,100,,OHAD HOLZBERG,,6534
106897,1674874,REGULAR,CHEDDAR BOX TOO,,109 CHENOWETH LN,,LOUISVILLE,KY,40207,FOOD SERVICE,5/25/22 0:00,99,A,CHEDDAR BOX TOO,,6535
107453,1667615,REGULAR,TIKI GRILL #1,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,92,,TIKI GRILL #1,,6538
107151,1663915,REGULAR,THORNTONS #31,,12412 LAGRANGE RD,,LOUISVILLE,KY,40245,"RETAIL-FOOD  10,000 SQ FT OR LESS",4/7/22 0:00,98,A,THORNTONS #31,,6541
107242,1697798,REGULAR,THORNTONS #96,,4516 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",8/30/22 0:00,95,A,THORNTONS #96,,6543
106639,1672600,REGULAR,TALK CHILDCARE TO ME,,5108 TERRY RD,,LOUISVILLE,KY,40216,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,5/16/22 0:00,99,A,TALK CHILDCARE TO ME,,6544
106663,1689529,REGULAR,GRASSA GRAMMA,,2210 HOLIDAY MANOR CENTER,,LOUISVILLE,KY,40222,FOOD SERVICE,7/26/22 0:00,100,A,GRASSA GRAMMA,,6546
106668,1672340,REGULAR,PROHIBITION CRAFT SPIRITS BAR,,436 BAXTER AVE,,LOUISVILLE,KY,40204,FOOD SERVICE,5/11/22 0:00,100,A,PROHIBITION CRAFT SPIRITS BAR,,6548
106668,1709082,REGULAR,PROHIBITION CRAFT SPIRITS BAR,,436 BAXTER AVE,,LOUISVILLE,KY,40204,FOOD SERVICE,10/13/22 0:00,100,A,PROHIBITION CRAFT SPIRITS BAR,,6549
106676,1699919,REGULAR,KUNG FU TEA,,5000 SHELBYVILLE RD STE 5525,,LOUISVILLE,KY,40207,FOOD SERVICE,9/6/22 0:00,98,A,KUNG FU TEA,,6551
106708,1696864,REGULAR,WEBB'S MARKET,,944 E MUHAMMAD ALI BLVD,,LOUISVILLE,KY,40202,PRE-PACKAGED RETAIL,8/25/22 0:00,99,,WEBB'S MARKET,,6553
106712,1705665,REGULAR,DERBY CAFE EXPRESS,,704 CENTRAL AVE,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",10/3/22 0:00,95,A,DERBY CAFE EXPRESS,,6554
106712,1705666,REGULAR,DERBY CAFE EXPRESS,,704 CENTRAL AVE,,LOUISVILLE,KY,40208,"RETAIL-FOOD  10,000 SQ FT OR LESS",10/3/22 0:00,99,,DERBY CAFE EXPRESS,,6555
106713,1690466,REGULAR,MCDONALD'S #6402,,5001 S 3RD ST,,LOUISVILLE,KY,40214,FOOD SERVICE,7/29/22 0:00,100,A,MCDONALD'S #6402,,6558
106715,1702809,REGULAR,JUBA HALAL FOOD MART,,335 E ESPLANADE AVE,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,9/20/22 0:00,95,,JUBA HALAL FOOD MART,,6560
106719,1667900,REGULAR,FULL STOP STATION,,1132 E ST CATHERINE ST,,LOUISVILLE,KY,40204,"RETAIL-FOOD  10,000 SQ FT OR LESS",4/26/22 0:00,97,A,FULL STOP STATION,,6561
106719,1667901,REGULAR,FULL STOP STATION,,1132 E ST CATHERINE ST,,LOUISVILLE,KY,40204,"RETAIL-FOOD  10,000 SQ FT OR LESS",4/26/22 0:00,100,,FULL STOP STATION,,6562
106744,1700649,REGULAR,DAN-O'S SEASONING,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,8/26/22 0:00,98,,DAN-O'S SEASONING,,6565
106744,1709961,REGULAR,DAN-O'S SEASONING,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,8/18/22 0:00,100,,DAN-O'S SEASONING,,6566
106744,1711942,REGULAR,DAN-O'S SEASONING,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,8/22/22 0:00,100,,DAN-O'S SEASONING,,6567
106746,1699688,REGULAR,JAY'S FOOD MART,,5370 RANGELAND RD,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",9/7/22 0:00,96,A,JAY'S FOOD MART,,6568
106746,1699689,REGULAR,JAY'S FOOD MART,,5370 RANGELAND RD,,LOUISVILLE,KY,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",9/7/22 0:00,98,,JAY'S FOOD MART,,6569
106749,1693347,REGULAR,DOMINION OF LOUISVILLE,,6000 HUNTING RD,,LOUISVILLE,KY,40222,FOOD SERVICE (HOSPITAL / NURSING HOME,8/10/22 0:00,98,A,DOMINION OF LOUISVILLE,,6572
106788,1671304,REGULAR,ROZ CATERING,,2204 DIXIE HWY,,LOUISVILLE,KY,40210,CATERERS,5/10/22 0:00,100,A,ROZ CATERING,,6574
106799,1693024,REGULAR,SMOKETOWN FAMILY WELLNESS CENTER,,760 S HANCOCK ST STE B100,,LOUISVILLE,KY,40203,PRE-PACKAGED RETAIL,8/9/22 0:00,100,,SMOKETOWN FAMILY WELLNESS CENTER,,6576
106800,1703022,FOLLOWUP,SURE STAY PLUS LOUISVILLE AIRPORT,,4125 PRESTON HWY,,LOUISVILLE,KY,40213,FOOD SERVICE,9/21/22 0:00,100,B,SURE STAY PLUS LOUISVILLE AIRPORT,,6577
106800,1700330,REGULAR,SURE STAY PLUS LOUISVILLE AIRPORT,,4125 PRESTON HWY,,LOUISVILLE,KY,40213,FOOD SERVICE,9/9/22 0:00,90,C,SURE STAY PLUS LOUISVILLE AIRPORT,,6578
106800,1706962,COMPLAINT,SURE STAY PLUS LOUISVILLE AIRPORT,,4125 PRESTON HWY,,LOUISVILLE,KY,40213,FOOD SERVICE,9/6/22 0:00,0,,SURE STAY PLUS LOUISVILLE AIRPORT,,6579
106800,1706973,COMPLAINT,SURE STAY PLUS LOUISVILLE AIRPORT,,4125 PRESTON HWY,,LOUISVILLE,KY,40213,FOOD SERVICE,9/9/22 0:00,0,,SURE STAY PLUS LOUISVILLE AIRPORT,,6580
106800,1706965,ENFORCEMENT ACTIONS,SURE STAY PLUS LOUISVILLE AIRPORT,,4125 PRESTON HWY,,LOUISVILLE,KY,40213,FOOD SERVICE,9/15/22 0:00,0,,SURE STAY PLUS LOUISVILLE AIRPORT,,6581
106800,1706966,FOLLOWUP,SURE STAY PLUS LOUISVILLE AIRPORT,,4125 PRESTON HWY,,LOUISVILLE,KY,40213,FOOD SERVICE,9/19/22 0:00,0,,SURE STAY PLUS LOUISVILLE AIRPORT,,6582
106800,1706967,FOLLOWUP,SURE STAY PLUS LOUISVILLE AIRPORT,,4125 PRESTON HWY,,LOUISVILLE,KY,40213,FOOD SERVICE,9/21/22 0:00,0,,SURE STAY PLUS LOUISVILLE AIRPORT,,6583
106832,1705449,REGULAR,LIL ANGELS ENRICHMENT CENTER,,1803 W BROADWAY,,LOUISVILLE,KY,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,10/3/22 0:00,98,A,LIL ANGELS ENRICHMENT CENTER,,6584
106833,1711005,REGULAR,KINGS FRIED CHICKEN,,1302 DIXIE HWY,,LOUISVILLE,KY,40210,FOOD SERVICE,10/20/22 0:00,97,A,KINGS FRIED CHICKEN,,6585
107456,1667610,REGULAR,TRIPLE TREAT #2,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,99,,TRIPLE TREAT #2,,6586
107151,1663916,REGULAR,THORNTONS #31,,12412 LAGRANGE RD,,LOUISVILLE,KY,40245,"RETAIL-FOOD  10,000 SQ FT OR LESS",4/7/22 0:00,99,,THORNTONS #31,,6588
107374,1667651,REGULAR,ASTON FOOD SERVICES - RED,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,98,,ASTON FOOD SERVICES - RED,,6589
107242,1697799,REGULAR,THORNTONS #96,,4516 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",8/30/22 0:00,98,,THORNTONS #96,,6590
107151,1709087,REGULAR,THORNTONS #31,,12412 LAGRANGE RD,,LOUISVILLE,KY,40245,"RETAIL-FOOD  10,000 SQ FT OR LESS",10/13/22 0:00,98,,THORNTONS #31,,6591
106925,1685198,REGULAR,MISAWA HIBACHI & SUSHI BAR,,7931 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,7/1/22 0:00,97,A,MISAWA HIBACHI & SUSHI BAR,,6592
107378,1667643,REGULAR,BJ'S CONCESSIONS (BROADUS) #1,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/24/22 0:00,93,,BJ'S CONCESSIONS (BROADUS) #1,,6593
107151,1709085,REGULAR,THORNTONS #31,,12412 LAGRANGE RD,,LOUISVILLE,KY,40245,"RETAIL-FOOD  10,000 SQ FT OR LESS",10/13/22 0:00,97,A,THORNTONS #31,,6594
